name,lat,lng,muti,exp
五臟,0,0,心、肝、脾、肺、腎,na
六腑,0,0,大腸、小腸、胃、膀胱、膽、心、肺、肝、脾、腎,na
心,64.02393402,6.328125,na,na
肝,47.29974246,-10.8984375,na,na
脾,47.06085702,28.828125,na,na
肺,63.55828233,-10.8984375,na,na
腎,16.67534047,-20.0390625,na,na
腸,27.71666309,8.0859375,na,大腸、小腸
胃,41.79552199,17.2265625,na,na
膀胱,0.39717622,5.9765625,na,na
膽,31.08403661,-3.8671875,na,na
骨,-43.28182307,-15.46875,na,na
髓,71.41823776,5.2734375,na,na
筋,-62.07173302,-20.7421875,na,na
肌肉,-37.11467851,-8.0859375,na,na
皮,-2.4137971,33.75,na,na
血脈,-23.83755238,28.828125,na,na
子宮,10.87512668,-1.40625,na,na
乳,63.55828233,-13.7109375,na,na
目,82.54069574,-2.109375,na,na
耳,81.77397657,-11.953125,na,na
口,80.05899252,5.625,na,na
舌,79.99813464,10.546875,na,na
齒,79.99813464,0,na,na
喉,78.42179713,6.328125,na,na
鼻,81.51868958,4.921875,na,na
頭,84.08855465,5.625,na,na
面,80.7046992,18.984375,na,na
眉,83.1109982,10.546875,na,na
四肢,-63.04347469,25.3125,na,na
子藏,10.87512668,-1.40625,na,na
頭禿,84.12464188,21.796875,na,na
胸膈 ,70.72897946,19.3359375,na,胸腔與膈肌
小便水道 ,1.75753681,13.0078125,na,泌尿系統（膀胱、尿道）
陰蝕 ,-11.52308751,5.2734375,na,生殖系統（男女外生殖器）
咽痛 ,78.42179713,6.328125,na,咽喉
腹中 ,25.48295118,21.796875,na,腹腔（包括胃、腸等）
頸下核 ,77.91566899,1.40625,na,甲狀腺或頸部淋巴結
肢滿 ,-83.67694305,-20.0390625,na,四肢（包括肌肉與關節）
氣癃 ,0.39717622,5.9765625,na,泌尿系統（膀胱或前列腺）
月閉 ,-11.52308751,5.2734375,na,女性生殖系統（月經相關）
三蟲 ,23.8858377,-4.21875,na,腸胃寄生蟲
五癃 ,0.70310735,-1.58203125,na,泌尿系統阻塞
產難 ,10.31491929,4.921875,na,子宮與產道
小便 ,0.39717622,5.9765625,na,na
精氣 ,-11.52308751,5.2734375,na,na
胎 ,10.87512668,-1.40625,na,na
胸 ,70.72897946,19.3359375,na,na
強陰 ,-11.52308751,5.2734375,na,na
陰漏 ,-11.52308751,5.2734375,na,na
腰 ,28.92163128,-21.97265625,na,na
漏下 ,-11.52308751,5.2734375,na,na
咳逆 ,78.63000557,15.46875,na,呼吸系統疾病，如慢性咳嗽或支氣管炎
寒熱 ,37.16031655,89.6484375,na,發熱病，可能對應感染性疾病或寒熱交替的瘧疾
煩滿 ,28.45903302,14.4140625,na,胃腸道不適、消化不良，或心理壓力相關症狀
下利赤白 ,28.76765911,8.26171875,na,痢疾或腸炎
血閉 ,-11.52308751,5.2734375,na,血瘀、月經不調，可能與貧血或內分泌失調相關
鼠瘺 ,78.42019328,14.94140625,na,淋巴結結核或腫大，可能為瘰?
癰傷 ,-2.4137971,33.75,na,化膿性皮膚感染，如癤、膿腫
癥瘕結氣 ,25.48295118,21.796875,na,腹部腫塊，可能對應腫瘤或慢性腸道阻塞
惡瘡 ,-24.12670196,-14.765625,na,慢性潰瘍或難愈合傷口
黃疸 ,0,0,肝、膽,肝膽疾病，如急性或慢性肝炎
消渴 ,-76.43460358,55.8984375,na,糖尿病
濕痺 ,-67.47492238,-7.03125,na,類風濕性關節炎或與濕氣相關的關節炎
痙疸 ,81.3083209,49.21875,na,癲癇或抽搐類疾病
賁豚 ,25.48295118,21.796875,na,腹部氣結，可能與腸梗阻或胃腸痙攣相關
帶下病 ,-11.52308751,5.2734375,na,婦科炎症，如白帶異常
癩疾 ,56.36525014,-88.9453125,na,麻風病
癥瘕積聚 ,25.48295118,21.796875,na,腹部腫塊，可能為腫瘤或囊腫
鬼注 ,83.90505796,-9.84375,na,精神或心理疾病，如癲癇、幻覺
蠱毒 ,-58.63121664,-69.2578125,na,中毒或慢性寄生蟲感染
癰腫 ,-77.46602848,-58.7109375,na,化膿性感染或腫脹
驚癇 ,81.92318633,-39.375,na,小兒癲癇
蝕惡肉 ,-77.46602848,-58.7109375,na,壞疽或嚴重的感染性潰瘍
熱病 ,37.16031655,89.6484375,na,熱性病症，如感染性發熱或中暑
七傷 ,-77.46602848,-58.7109375,na,多重損傷，可能對應綜合性的內傷或外傷
息肉 ,-77.46602848,-58.7109375,na,na
邪氣 ,37.16031655,89.6484375,na,na
止血 ,-77.46602848,-58.7109375,na,na
女子崩中下血 ,-11.52308751,5.2734375,na,na
風攣 ,37.16031655,89.6484375,na,na
下利 ,-11.52308751,5.2734375,na,na
瘴氣 ,-58.63121664,-69.2578125,na,na
聾 ,81.77397657,-11.953125,na,na
耐老 ,35.17380832,-93.1640625,na,na
補中 ,35.17380832,-93.1640625,na,na
